average,totals,averages,balance
0.07194334789649827,"{'buying': 80581.58489953938, 'selling': 51564.42958686616, 'baseload_ppa': 31597.51839614204}","{'buying': 0.06072396121629255, 'selling': 0.08846555802305837}",60614.67370881526
0.07226838534134172,"{'buying': 77255.38428900146, 'selling': 57744.98113102803, 'baseload_ppa': 31740.274841917286}","{'buying': 0.05909430525193791, 'selling': 0.08862642759019619}",51250.67799989072
0.07464623568938546,"{'buying': 86486.90224663288, 'selling': 55541.8913142815, 'baseload_ppa': 32784.62671477809}","{'buying': 0.06308605776595685, 'selling': 0.09213995380693406}",63729.637647129464
0.0743625721825858,"{'buying': 89284.6501192009, 'selling': 54980.01814780352, 'baseload_ppa': 32660.041702591683}","{'buying': 0.06291490449487204, 'selling': 0.09186507990879213}",66964.67367398906
0.07271661559967003,"{'buying': 77114.98388419603, 'selling': 54899.525422031744, 'baseload_ppa': 31937.13757137508}","{'buying': 0.059415974557003016, 'selling': 0.09085523575881756}",54152.59603353936
0.07297383387338158,"{'buying': 82750.69228184714, 'selling': 54950.132580611964, 'baseload_ppa': 32050.10783718919}","{'buying': 0.061829853700141206, 'selling': 0.08996223289143802}",59850.667538424364
0.07185533836334312,"{'buying': 80492.29476727621, 'selling': 52515.70556068958, 'baseload_ppa': 31558.8646091803}","{'buying': 0.059829440846979574, 'selling': 0.09007244711476563}",59535.45381576692
0.07188975420741876,"{'buying': 78944.11403431799, 'selling': 54216.21535797455, 'baseload_ppa': 31573.98004789832}","{'buying': 0.060544996663269665, 'selling': 0.08860026623239153}",56301.87872424176
0.07159419505381434,"{'buying': 79739.20558642334, 'selling': 56379.51550906025, 'baseload_ppa': 31444.17046763526}","{'buying': 0.06021293991428746, 'selling': 0.08874401327281507}",54803.86054499836
0.07418043993031047,"{'buying': 84495.49159708785, 'selling': 54827.527910223114, 'baseload_ppa': 32580.04921739236}","{'buying': 0.06170950625812909, 'selling': 0.09334969970422917}",62248.01290425709
