,price,solar,wind,Forecasted Load,Actual Load,Residual Load,Imbalance Long,Imbalance Short,gas,oil,ets,gas_with_ets,emissions
2019-12-21 05:00:00+00:00,0.03,0.0,0.8336021505376343,4646.0,4576.4,235.0,-15.88,18.54,1.9845967063660248,60.197540072984594,24.17448863636364,3.262419214430661,0.039562465927613255
2019-12-21 06:00:00+00:00,0.05,0.0,0.8138248847926267,4726.0,4641.2,402.8000000000002,-15.17,20.76,1.9841289645241136,60.18588684451196,24.174204545454547,3.2619364560246598,0.04056210393534166
2019-12-21 07:00:00+00:00,0.12,0.0,0.804089861751152,4851.0,4745.5,557.8000000000002,-18.73,20.88,1.9836612226822028,60.17423361603933,24.173920454545456,3.261453697618657,0.040960925975419095
2019-12-21 08:00:00+00:00,2.3,0.004021447721179625,0.7688940092165899,5240.0,5109.6,1102.2000000000005,-13.08,19.06,1.983193480840292,60.162580387566685,24.17363636363637,3.260970939212656,0.043485129461133566
2019-12-21 09:00:00+00:00,2.3,0.024396782841823055,0.7515168970814132,5669.0,5628.1,1696.0000000000005,-8.94,14.9,1.9827257389983808,60.150927159094046,24.17335227272727,3.2604881808066533,0.043517817217428346
2019-12-21 10:00:00+00:00,2.3,0.05522788203753352,0.7450460829493087,5842.0,5905.7,1984.3,-12.32,18.7,1.9822579971564696,60.13927393062141,24.17306818181818,3.2600054224006514,0.04334863458671438
2019-12-21 11:00:00+00:00,2.3,0.08726541554959785,0.7659754224270353,6013.0,6144.4,2090.0999999999995,-9.64,20.52,1.9817902553145588,60.12762070214877,24.17278409090909,3.259522663994649,0.04171920410773586
2019-12-21 12:00:00+00:00,2.3,0.12493297587131368,0.6763056835637481,6004.0,6125.7,2510.3,-3.89,13.15,1.981322513472648,60.11596747367613,24.1725,3.259039905588648,0.0466927807670926
2019-12-21 13:00:00+00:00,2.3,0.13873994638069706,0.6380568356374808,5942.0,5975.1,2548.6000000000004,-4.91,12.19,1.980854771630737,60.1043142452035,24.17221590909091,3.258557147182646,0.04906672244526816
2019-12-21 14:00:00+00:00,2.3,0.15750670241286863,0.7126728110599078,5932.0,5840.7,2011.6,-14.38,22.67,1.980387029788826,60.09266101673086,24.171931818181815,3.2580743887766443,0.045117481129564076
2019-12-21 15:00:00+00:00,2.3,0.12667560321715818,0.7124807987711214,5835.0,5814.4,2009.3,-10.29,20.23,1.979919287946915,60.08100778825822,24.171647727272727,3.2575916303706425,0.04521880804351202
2019-12-21 16:00:00+00:00,2.3,0.03150134048257373,0.6799347158218125,5856.0,5823.1,2258.5000000000005,-9.34,16.57,1.979451546105004,60.06935455978558,24.17136363636364,3.2571088719646406,0.047154679185385434
2019-12-21 17:00:00+00:00,2.3,0.0006702412868632708,0.62642089093702,6386.0,6227.4,2964.4999999999995,-5.48,10.56,1.978983804263093,60.05770133131294,24.171079545454543,3.2566261135586387,0.04947426807045066
2019-12-21 18:00:00+00:00,3.3,0.0,0.5906298003072197,6754.0,6597.2,3521.2,0.37,6.4,1.978516062421182,60.0460481028403,24.170795454545456,3.2561433551526364,0.051376017260462245
2019-12-21 19:00:00+00:00,5.26,0.0,0.5655721966205837,6747.0,6710.9,3765.4,-11.94,23.46,1.978048320579271,60.03439487436766,24.170511363636365,3.2556605967466345,0.053657072229205814
2019-12-21 20:00:00+00:00,3.88,0.0,0.575595238095238,6567.0,6577.6,3579.9000000000005,-10.63,19.85,1.97758057873736,60.02274164589503,24.170227272727274,3.2551778383406327,0.05256853328981522
2019-12-21 21:00:00+00:00,2.3,0.0,0.6092933947772657,6140.0,6250.7,3077.5,-23.78,33.24,1.977112836895449,60.01108841742239,24.169943181818184,3.254695079934631,0.05038870418951743
2019-12-21 22:00:00+00:00,2.3,0.0,0.6561827956989248,5901.0,5875.4,2457.9999999999995,-8.86,16.82,1.976645095053538,59.99943518894976,24.169659090909093,3.2542123215286285,0.04843217791707825
2019-12-21 23:00:00+00:00,0.51,0.0,0.6654185867895546,5425.0,5486.1,2020.6000000000004,-34.72,49.49,1.976177353211627,59.98778196047712,24.169375,3.253729563122626,0.047608048479192706
