,Optimal Profit,Realized Profit,Percentage Obtained,EBITDA,Contracted Revenue,Contracted Revenue Share,Short Exposure,Long Exposure,Power Consumption,Balancing Exposure,Episode Runtimes
19,128837594.58008188,100945500.91852611,78.35096677141173,100945500.91852611,219060000.0,1.2284786903235443,0.3639037325832669,0.6014364683150314,2750956.488426797,0.5787480372106308,309.0012695789337
20,130032880.98410119,95190413.80427527,73.20487947653332,95190413.80427527,213755873.7226423,1.2381820037735685,0.39471657922433173,0.6205719591434926,2738042.700176261,0.5919500751496701,325.1914575099945
21,121187107.86964907,91549206.06272183,75.54368420211308,91549206.06272183,219547697.9711028,1.3048008248758147,0.2950245230962655,0.5650657545208627,2763274.2258963613,0.5584774788714082,389.9656295776367
22,129264044.20067139,95246285.24553353,73.6835102402272,95246285.24553353,213021233.30817366,1.2390882581589504,0.4318494039942888,0.646027703094758,2736178.8477403624,0.5228775702028376,347.0527217388153
23,127137222.43594295,98590274.29089063,77.54634905648072,98590274.29089063,220540312.05761144,1.266870070132625,0.3765500013070121,0.6265338743486695,2788820.2652535997,0.579271204965617,345.22138381004333
24,137635499.52565446,112201091.75891292,81.52045958026932,112201091.75891292,219120444.7227152,1.154703297986906,0.481507632357924,0.6763962658930813,2753044.8866324304,0.5620596428291782,344.4712817668915
25,135277746.51550087,105521019.37179795,78.00323563174284,105521019.37179795,221888057.10474485,1.2158008477975881,0.4385908940319584,0.6606428615236559,2825646.679082532,0.5641881311601495,408.882657289505
26,129036116.54456604,99896264.42829782,77.41728990564901,99896264.42829782,219528096.30276376,1.2582495935683797,0.4209750563164831,0.655400129067827,2762977.4050834184,0.5458831718013841,1407.4689376354218
27,132539791.51613772,101446540.15506142,76.54044041763076,101446540.15506142,219654740.61783051,1.2337595201069347,0.43159409168772545,0.6527138682697305,2766536.709533398,0.55430131849881,403.25639128685
28,124928960.37008956,93849015.93943277,75.12190581064186,93849015.93943277,220102898.08289087,1.2962103389583675,0.3914342859866647,0.6308905405675235,2778287.494380829,0.5824700815307717,360.0544333457947
29,135902546.7099761,96240653.61773202,70.81593093550714,96240653.61773202,206393063.90005416,1.193063189944207,0.45646060691523915,0.6588709049722253,2719237.778718667,0.6034418878244034,346.4331705570221
30,125377404.46934217,93601021.50099474,74.6554149028364,93601021.50099474,220349433.89257902,1.2997799884820407,0.3725818612051373,0.6213525636196401,2784235.8286565333,0.5857908216404959,337.70794582366943
31,130507757.51372999,100661202.49599236,77.13043608568813,100661202.49599236,221352551.4586657,1.2577094187864077,0.3908318570943394,0.6384408203973619,2810484.6548296474,0.5285186907674311,334.57097268104553
32,125466748.05324736,96447888.91914546,76.87127499169226,96447888.91914546,219113411.50412762,1.2609170593426524,0.344871375043363,0.5913765809557245,2753161.9585276917,0.5731419217425744,362.7733247280121
33,123720724.70771472,96633515.18140794,78.10616645650983,96633515.18140794,219309311.75789204,1.2673907601831003,0.33914466450283043,0.5940569724412647,2757622.91809767,0.5346035933817908,334.7644326686859
34,127618123.35434416,99353146.5968506,77.85191004649623,99353146.5968506,219060000.0,1.2529099742962877,0.3809660751760024,0.6243789575698225,2750993.3991219383,0.5827889859055877,349.6271879673004
35,124817185.52426806,93674932.58491808,75.04970745130683,93674932.58491808,220064919.59263957,1.2859894650702877,0.3278149385668598,0.5830063866923209,2776588.9576488393,0.5677798754599677,394.9802656173706
36,127407626.54780231,98555427.9859098,77.3544179860635,98555427.9859098,219333868.20217547,1.2452858639421078,0.3587421105917848,0.6010351931034837,2757928.0494573927,0.5680856869712474,384.5857164859772
37,128097574.71977435,96645812.94177343,75.44702790290555,96645812.94177343,220630691.88603374,1.276826932731417,0.3682452631330629,0.6174371470091433,2791139.2626350913,0.591063682813542,385.55468368530273
38,129459637.19347647,83787842.71447888,64.72120927487119,83787842.71447888,198135065.26811886,1.2383752904234306,0.4250630199983636,0.6405817920683516,2698602.398759811,0.5760224985769308,383.9849941730499
39,132563349.50686075,100671493.82262518,75.94217722856722,100671493.82262518,220141833.63392285,1.2147044821937427,0.39275660096792786,0.6065311251072599,2778567.116367599,0.606264166504778,368.19610238075256
40,125155467.72692478,97025853.50199607,77.52426263445048,97025853.50199607,219060000.0,1.2705713358366884,0.34585478670829006,0.6032076383849619,2750937.679383987,0.5571319990934804,381.1871671676636
41,126125145.06314293,95160799.86801647,75.44950677390733,95160799.86801647,217729429.7991811,1.2587452022323724,0.3452683353589914,0.5865416141943839,2748125.4208617215,0.5540759473674144,360.32418608665466
42,139785226.10417584,112372551.1731168,80.38943335068217,112372551.1731168,219326781.11138695,1.14309074631305,0.4797684554986138,0.6654080341740042,2757849.4131973796,0.5985121545237837,353.9072127342224
43,131536854.37974185,103766895.24592966,78.88807721245836,103766895.24592966,219656304.15172672,1.2208698957096993,0.4004577453602939,0.6352903143484953,2766598.5568567803,0.5514990171905149,358.31484842300415
44,125055432.1439171,98141578.32454415,78.47846082495658,98141578.32454415,219167065.3699496,1.2618410922132488,0.33913856527625763,0.5963007079944853,2753684.856332808,0.5225391041509214,354.664071559906
45,135627606.89550698,108103317.8369516,79.70598339926383,108103317.8369516,219359134.25605008,1.1787738116534017,0.4474762256049308,0.6518206641115507,2758719.235282737,0.6124844026048091,377.5692415237427
46,122133824.27994268,79262873.40812768,64.89838001506398,79262873.40812768,205261515.94819838,1.3162624280200932,0.33761476953038067,0.5861155779630391,2716186.725599372,0.5945883087266294,384.39482402801514
47,140313545.39853278,114871124.29182848,81.86745190249441,114871124.29182848,219060000.0,1.1249409774720303,0.5125129928106994,0.6831762507173182,2751163.4275666135,0.6130099134697136,372.15542101860046
48,139924993.43567622,109817015.73148666,78.48277354536361,109817015.73148666,220507640.25070676,1.1860434791866075,0.5046899170449037,0.7003718392290437,2787991.962451814,0.5887534967065647,349.76025009155273
49,130232954.68702996,104535845.6085032,80.26835132453155,104535845.6085032,219317343.45044568,1.209976062404226,0.4059317995689031,0.6321867221356023,2757738.1475755004,0.5632117492339772,351.52314043045044
